,Título,Autor,Editorial,Páginas,Ratio Puntos / Votos
0,Solving PDEs in Python,Hans Petter Langtangen & Anders Logg,Springer,152 Páginas,(1 puntos / 2 votos )
1,Python Notes for Professionals,Varios,GoalKicker.com,814 Páginas,(4 puntos / 3 votos )
2,Python Anti-Patterns,Varios,QuantifiedCode,67 Páginas,(5 puntos / 2 votos )
3,Intermediate Python,Muhammad Yasoob Ulla Khalid,Autoedición,82 Páginas,(5 puntos / 1 votos )
4,Functional Programming in Python,David Mertz,O'Reilly,49 Páginas,(5 puntos / 3 votos )
5,Introducción a la programación…,Andrés Becerra Sandoval,Pontificia Universidad Javeriana,320 Páginas,(4 puntos / 7 votos )
6,Aprendiendo a Programar en…,Varios,Autoedición,228 Páginas,(4 puntos / 9 votos )
7,Programming and Mathematical Thinking,Allan M. Stavely,The New Mexico Tech Press,260 Páginas,(1 puntos / 1 votos )
8,Hands-on Python Tutorial,Andrew N. Harrington,Loyola University Chicago,191 Páginas,
9,The Coder’s Apprentice: Learning…,Pieter Spronck,Autoedición,388 Páginas,(4 puntos / 16 votos )
10,Laboratory Manual for Computer…,James M. Fiore,Autoedición,88 Páginas,(3 puntos / 3 votos )
11,Python for Everybody: Exploring…,Charles Severance,Autoedición,245 Páginas,(5 puntos / 2 votos )
12,Labs for Foundations of…,Varios,Autoedición,272 Páginas,
13,Introducción al lenguaje de…,Varios,Universidad de Granada,50 Páginas,(5 puntos / 7 votos )
14,Introducción a la programación…,Varios,Universitat Jaume I,408 Páginas,(4 puntos / 14 votos )
15,Design and build a…,Stewart Watkiss,Autoedición,71 Páginas,(5 puntos / 1 votos )
16,Make Games with Python,Varios,Autoedición,154 Páginas,(4 puntos / 3 votos )
17,Python Programación,Luis Rodríguez Ojeda,Escuela Superior Politécnica del Litoral,315 Páginas,(5 puntos / 14 votos )
18,Deep Learning Tutorial,Varios,University of Montreal,173 Páginas,(5 puntos / 2 votos )
19,Inventa tus propios juegos…,Al Sweigart,Autoedición,380 Páginas,(5 puntos / 8 votos )
20,Introduction to the Modeling…,Hiroki Sayama,Open SUNY Textbooks,498 Páginas,(5 puntos / 4 votos )
21,Python para informáticos,Charles Severance,Autoedición,256 Páginas,(4 puntos / 6 votos )
22,Invent Your Own Computer…,Al Sweigart,Autoedición,367 Páginas,(4 puntos / 2 votos )
23,Computational Physics with Python,Eric Ayars,California State University,194 Páginas,(4 puntos / 3 votos )
24,Programming Computer Vision with…,Jan Erik Solem,Autoedición,300 Páginas,
25,Introduction to Python for…,Kevin Sheppard,University of Oxford,405 Páginas,(5 puntos / 6 votos )
26,Proyecto Physthones,Pablo M. García Corzo,Alqua,83 Páginas,
27,Learning to Program Using…,Cody Jackson,Autoedición,215 Páginas,
28,Python for Informatics,Charles Severance,Autoedición,244 Páginas,(5 puntos / 2 votos )
29,Python para Principiantes,Eugenia Bahit,Autoedición,136 Páginas,(5 puntos / 6 votos )
30,Python Scripting for Spatial…,Pete Bunting & Daniel Clewley,Aberystwyth University,194 Páginas,(4 puntos / 1 votos )
31,Minecraft Pi Book,Craig Richardson,Autoedición,225 Páginas,(4 puntos / 1 votos )
32,A Practical Introduction to…,Brian Heinold,Mount St. Mary's University,263 Páginas,(4 puntos / 2 votos )
33,Inteligencia artificial avanzada: el…,David Masip Rodó,UOC,40 Páginas,(4 puntos / 6 votos )
34,Python Guide Documentation,Kenneth Reitz,Autoedición,82 Páginas,
35,High Performance Python,Ian Ozsvald,Autoedición,55 Páginas,
36,Algorithmic Problem Solving with…,Varios,Autoedición,360 Páginas,
37,"Think Python, How to…",Allen Downey,Green Tea Press,240 Páginas,(5 puntos / 2 votos )
38,Hacking Secret Ciphers with…,Al Sweigart,Autoedición,436 Páginas,(5 puntos / 2 votos )
39,Desarrollo de aplicaciones con…,Marco Antonio Islas Cruz,Autoedición,336 Páginas,(5 puntos / 2 votos )
40,PET: Python entre Todos…,Varios,Autoedición,33 Páginas,(5 puntos / 2 votos )
41,PET: Python entre Todos…,Varios,Autoedición,85 Páginas,(5 puntos / 1 votos )
42,Introducción a Python,Ángel Luis García García,Autoedición,88 Páginas,(5 puntos / 1 votos )
43,Iniciación a Python 3,José Miguel Rioz Torres,Autoedición,30 Páginas,(5 puntos / 3 votos )
44,Introducción a la Programación…,Andrés Marzal & Isabel Gracia,Universitat Jaume I,434 Páginas,
45,Algoritmos y Programación con…,Variops,Autoedición,224 Páginas,(3 puntos / 9 votos )
46,Aprender a programar con…,"Andrés Marzal, David Llorens e Isabel Gracia",Universitat Jaume I,15 Páginas,(5 puntos / 2 votos )
47,An Introduction to Python,John C. Lusth,Autoedición,115 Páginas,
48,The MagPi #4,Varios,MagPi,32 Páginas,
49,Start Here: Python Programming,Jody Scott Ginther,AlienCatStudio,57 Páginas,
50,Non-Programmers Tutorial For Python,Josh Cogliati,Autoedición,90 Páginas,
51,Making Games with Python…,Al Sweigart,Autoedición,365 Páginas,(5 puntos / 1 votos )
52,Python Programming,Wikibooks.org,Autoedición,159 Páginas,
53,Design Patterns in Python,Rahul Verma & Chetan Giridhar ,Autoedición,38 Páginas,(4 puntos / 1 votos )
54,De 0 a Python,Kenkeiras,Autoedición,18 Páginas,(4 puntos / 5 votos )
55,PET: Python entre Todos…,Juan Bautista Cabral,Autoedición,51 Páginas,(4 puntos / 5 votos )
56,PET: Python entre Todos…,Juan Bautista Cabral,Autoedición,61 Páginas,(4 puntos / 7 votos )
57,PET: Python entre Todos…,Juan Bautista Cabral,Autoedición,74 Páginas,(3 puntos / 8 votos )
58,PET: Python entre Todos…,Juan Bautista Cabral,Autoedición,71 Páginas,(4 puntos / 3 votos )
59,"Think Python, How to…",Allen Downey,Green Tea Press,234 Páginas,(4 puntos / 2 votos )
60,Doma de Serpientes Para…,Jason R. Briggs,Autoedición,180 Páginas,(3 puntos / 6 votos )
61,Doma de Serpientes Para…,Jason R. Briggs,Autoedición,179 Páginas,(3 puntos / 6 votos )
62,Doma de Serpientes Para…,Jason R. Briggs,Autoedición,179 Páginas,(4 puntos / 2 votos )
63,Inmersión en Python 3,Mark Pilgrim,Autoedición,339 Páginas,(4 puntos / 7 votos )
64,Guide to NumPy,Travis E. Oliphant,Autoedición,378 Páginas,(4 puntos / 1 votos )
65,Python and Coding Theory,David Joyner,Autoedición,115 Páginas,(4 puntos / 1 votos )
66,Fast Lane to Python,Norm Matloff,University of California,170 Páginas,(4 puntos / 3 votos )
67,Programming for Non-Programmers,Steven F. Lott,Autoedición,577 Páginas,(4 puntos / 3 votos )
68,The Pyramid Web Application…,Chris McDonough,Casey Duncan,571 Páginas,(4 puntos / 3 votos )
69,Building Skills in Python,Steven F. Lott,Autoedición,574 Páginas,(3 puntos / 3 votos )
70,Python no Muerde,Roberto Alsina,Autoedición,164 Páginas,(4 puntos / 16 votos )
71,Think Stats,Allen B. Downey,Green Tea Press,136 Páginas,(5 puntos / 1 votos )
